Timestamp, Valid Period, Tampines forecast, Time Data Fetched
2024-11-15T20:07:30+08:00,8.00 pm to 10.00 pm,Cloudy,15-11-2024 20:10:27
2024-11-15T22:37:29+08:00,10.30 pm to 12.30 am,Cloudy,15-11-2024 22:42:39
2024-11-15T23:12:35+08:00,11.00 pm to 1.00 am,Partly Cloudy (Night),15-11-2024 23:12:41
2024-11-16T09:07:44+08:00,9.00 am to 11.00 am,Partly Cloudy (Day),16-11-2024 09:36:15
2024-11-16T09:37:27+08:00,9.30 am to 11.30 am,Partly Cloudy (Day),16-11-2024 09:46:16
2024-11-16T10:07:29+08:00,10.00 am to Midday,Partly Cloudy (Day),16-11-2024 10:16:29
2024-11-16T10:37:29+08:00,10.30 am to 12.30 pm,Partly Cloudy (Day),16-11-2024 10:46:36
2024-11-16T11:07:28+08:00,11.00 am to 1.00 pm,Partly Cloudy (Day),16-11-2024 11:16:56
2024-11-16T11:22:33+08:00,11.00 am to 1.00 pm,Partly Cloudy (Day),16-11-2024 11:26:56
2024-11-16T11:42:29+08:00,11.30 am to 1.30 pm,Showers,16-11-2024 11:47:03
2024-11-16T12:07:27+08:00,Midnight to 2.00 am,Showers,16-11-2024 12:17:13
2024-11-16T12:22:33+08:00,Midnight to 2.00 am,Showers,16-11-2024 12:27:20
2024-11-16T12:27:31+08:00,Midnight to 2.00 am,Showers,16-11-2024 12:37:26
2024-11-16T12:37:37+08:00,12.30 am to 2.30 am,Showers,16-11-2024 12:47:27
2024-11-17T16:47:30+08:00,4.30 pm to 6.30 pm,Cloudy,17-11-2024 17:00:51
2024-11-17T17:07:39+08:00,5.00 pm to 7.00 pm,Cloudy,17-11-2024 17:10:51
2024-11-17T17:27:29+08:00,5.00 pm to 7.00 pm,Cloudy,17-11-2024 17:30:52
2024-11-17T17:37:40+08:00,5.30 pm to 7.30 pm,Cloudy,17-11-2024 17:40:58
2024-11-17T17:42:46+08:00,5.30 pm to 7.30 pm,Cloudy,17-11-2024 17:50:59
2024-11-17T17:57:35+08:00,5.30 pm to 7.30 pm,Showers,17-11-2024 18:01:05
2024-11-17T18:07:36+08:00,6.00 pm to 8.00 pm,Showers,17-11-2024 18:11:12
2024-11-17T18:27:29+08:00,6.00 pm to 8.00 pm,Cloudy,17-11-2024 18:31:13
2024-11-17T18:37:31+08:00,6.30 pm to 8.30 pm,Cloudy,17-11-2024 18:41:13
2024-11-17T18:52:38+08:00,6.30 pm to 8.30 pm,Cloudy,17-11-2024 19:01:14
2024-11-17T19:07:29+08:00,7.00 pm to 9.00 pm,Cloudy,17-11-2024 19:11:21
2024-11-17T19:27:38+08:00,7.00 pm to 9.00 pm,Cloudy,17-11-2024 19:31:28
2024-11-17T20:37:38+08:00,8.30 pm to 10.30 pm,Cloudy,17-11-2024 20:54:52
